run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown
24,full_structured_model,0.9895681901583442,0.018064292070060408,0.5990527271242889,0.6955704308299431,0.738491552687736,1.0,0.0,0.24,,0
25,full_structured_model,0.9457324100203176,0.1660888378087862,0.5356223233777662,0.6522514579525469,0.6949308459289583,0.9820000000000002,0.0006666666666666666,0.7070000000000001,,0
26,full_structured_model,0.9921607979237,0.01470609961617142,0.5939767716190227,0.660111610534267,0.7040829732524985,1.0,0.0,0.7293333333333334,,0
27,full_structured_model,0.9916155249429085,0.014942822809926828,0.5617916337631804,0.6701978532116069,0.7076603396288956,1.0,0.0,0.8096666666666666,,0
28,full_structured_model,0.9376485236907102,0.14029598720145456,0.5013728789188964,0.6517030493116251,0.6993191565951669,0.9913333333333334,0.0,0.734452380952381,,0
29,full_structured_model,0.9277740462710818,0.140035167333958,0.5053457790491837,0.6131133782765066,0.6582788789425895,0.988,0.0008333333333333333,0.8147171717171717,,0
0,full_llm_mediated_model,0.04319020639864159,0.07507246682132278,0.17139770142649785,0.24147482436723922,0.29570997417615064,0.5166666666666667,0.1746205798845118,0.5801695075255694,0.9385732336119332,1
1,full_llm_mediated_model,0.06332822984055651,0.08310637884331572,0.1822484447111267,0.25345303644546474,0.3065460183777201,0.5253333333333334,0.17070019033254324,0.6197998719120961,0.9456779253037834,1
2,full_llm_mediated_model,0.03938750758259138,0.06314694137149918,0.1745956250615741,0.2617262712684035,0.31387171394436164,0.5066666666666667,0.17320196934128823,0.6305640908884158,0.9369280246757026,1
3,full_llm_mediated_model,0.08209048477455091,0.18163645114629784,0.17755100432964094,0.30366995051956014,0.3517240248961863,0.5426666666666667,0.15277975937031665,0.5559522255121325,0.9548180770038354,1
4,full_llm_mediated_model,0.04279084472349983,0.05110261508947618,0.15389448193125346,0.24305756360942118,0.2943750690786681,0.5186666666666667,0.16560564753444013,0.5495941414583201,0.9338039697660441,1
5,full_llm_mediated_model,0.08275956617083409,0.08401389351667675,0.22611164819045965,0.3047231269799583,0.37058573962531083,0.6073333333333334,0.1417643569021278,0.6108302538265791,0.9343763754044074,1
