run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown,parameter,value,seed
17,full_structured_model,0.9966937539068278,0.014834355858792956,0.6487149315587554,0.7377135366943562,0.76747714914732,1.0,0.0,0.8306507936507935,,0,beta_b,0.65,20260738
18,full_structured_model,0.9927987560314937,0.014329829390366049,0.6323090115198261,0.7734763818366119,0.8006309945269521,1.0,0.0,0.866,,0,beta_b,0.65,20260739
19,full_structured_model,0.9935596597484786,0.019251140898363883,0.6341696435180012,0.7860581445623057,0.815302308833404,1.0,0.0,0.6766666666666665,,0,beta_b,0.65,20260740
20,full_structured_model,0.9963595161807101,0.009950826111363496,0.6479511726524273,0.772064795183307,0.8012436644185285,1.0,0.0,0.826,,0,beta_b,0.65,20260741
21,full_structured_model,0.9848011907675995,0.041154384278697484,0.5619970055249256,0.7221100708979401,0.756882237079316,1.0,0.0,0.8386190476190477,,0,beta_b,0.65,20260742
22,full_structured_model,0.9930638872669686,0.015170322108065753,0.6568951489717031,0.7932220058863595,0.8215716768421903,1.0,0.0,0.7,,0,beta_b,0.65,20260743
23,full_structured_model,0.9929171452429724,0.01701816283736847,0.5926332603619512,0.7925825085751228,0.8178056397041444,0.9993333333333334,0.0,0.8302857142857143,,0,beta_b,0.65,20260744
24,full_structured_model,0.9922905694613477,0.01586604436498676,0.6741272906199735,0.7926832190704795,0.8200805358050167,1.0,0.0,0.8133333333333332,,0,beta_b,0.65,20260745
25,full_structured_model,0.994941380691293,0.011532986763647043,0.6166068876176473,0.7740006756556231,0.8005632399237722,1.0,0.0,0.7433333333333333,,0,beta_b,0.65,20260746
26,full_structured_model,0.9972214507268766,0.01040378681115128,0.6642842922327302,0.7916435000223342,0.8156513455497282,0.992,0.0,0.7833333333333333,,0,beta_b,0.65,20260747
27,full_structured_model,0.9927327617900874,0.02088307323765745,0.6343859061695779,0.7556214486440872,0.7868716551300884,1.0,0.0,0.8233333333333333,,0,beta_b,0.65,20260748
28,full_structured_model,0.9883318679176077,0.04500058055056508,0.6179580463210145,0.7637490266006443,0.7934876871785173,1.0,0.0,0.8226666666666667,,0,beta_b,0.65,20260749
29,full_structured_model,1.0,0.0,0.6399182271934625,0.7792360369490726,0.8099910644483362,1.0,0.0,0.78,,0,beta_b,0.65,20260750
0,full_structured_model,0.8452799387396415,0.16129388936365802,0.4773452348976106,0.5572355200434889,0.6109989073198281,1.0,0.0,0.7177381507381508,,0,lambda_b,0.05,20260721
1,full_structured_model,0.7159921346404763,0.16179161390886534,0.4241667448945782,0.4661517527349335,0.5290531354654753,1.0,0.0,0.7416859953771717,,0,lambda_b,0.05,20260722
2,full_structured_model,0.7849842469096798,0.19155826038623364,0.45317361461032113,0.509829374874875,0.5687201968456153,1.0,0.0,0.7533486513486514,,0,lambda_b,0.05,20260723
3,full_structured_model,0.7798459848038309,0.18411755420464485,0.43678860985732676,0.5289603094723635,0.581241434464241,1.0,0.0,0.756427405927406,,0,lambda_b,0.05,20260724
4,full_structured_model,0.817982676120641,0.17790293931347262,0.48084448611796976,0.5311795513699942,0.58455875627466,1.0,0.0,0.6638404373404373,,0,lambda_b,0.05,20260725
5,full_structured_model,0.7589553554478118,0.19362803766294379,0.4516573362926486,0.5062646781054305,0.562102806306928,1.0,0.0,0.6992867132867131,,0,lambda_b,0.05,20260726
6,full_structured_model,0.7826250047382768,0.17554761698588983,0.4705886607193511,0.5089377837518769,0.5638748120597246,1.0,0.0,0.7277150627150627,,0,lambda_b,0.05,20260727
7,full_structured_model,0.869994431096705,0.13415514872297357,0.49502910902494945,0.5710452925404266,0.633912656830987,1.0,0.0,0.7307619047619047,,0,lambda_b,0.05,20260728
8,full_structured_model,0.8624073946248502,0.16375760842731443,0.5367608605526502,0.5827496667167067,0.6368445436122222,1.0,0.0,0.7593809523809523,,0,lambda_b,0.05,20260729
9,full_structured_model,0.7961701327260737,0.1769923015296679,0.476369008012752,0.5208222085126851,0.5763833281607491,1.0,0.0,0.7002841602841603,,0,lambda_b,0.05,20260730
